,identifier,species_id,sprite_location,height,weight,base_experience,order,is_default,identifier_species,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate_id,forms_switchable,order_species,base_hp,base_attack,base_defense,base_special_attack,base_special_defense,base_speed,effort_hp,effort_attack,effort_defense,effort_special_attack,effort_special_defense,effort_speed
10098,pikachu-kalos-cap,25,44,4,60,112,40,0,pikachu,1,172,10,10,8,2,4,190,70,0,10,1,2,0,26,35,55,40,50,50,90,0,0,0,0,0,2
10084,pikachu-libre,25,,4,60,112,41,0,pikachu,1,172,10,10,8,2,4,190,70,0,10,1,2,0,26,35,55,40,50,50,90,0,0,0,0,0,2
10099,pikachu-alola-cap,25,45,4,60,112,41,0,pikachu,1,172,10,10,8,2,4,190,70,0,10,1,2,0,26,35,55,40,50,50,90,0,0,0,0,0,2
10148,pikachu-partner-cap,25,46,4,60,112,42,0,pikachu,1,172,10,10,8,2,4,190,70,0,10,1,2,0,26,35,55,40,50,50,90,0,0,0,0,0,2
26,raichu,26,47,8,300,218,43,1,raichu,1,25,10,10,6,2,4,75,70,0,10,1,2,0,27,60,90,55,90,80,110,0,0,0,0,0,3
10100,raichu-alola,26,49,7,210,218,44,0,raichu,1,25,10,10,6,2,4,75,70,0,10,1,2,0,27,60,85,50,95,85,110,0,0,0,0,0,3
27,sandshrew,27,50,6,120,60,45,1,sandshrew,1,,11,10,6,6,4,255,70,0,20,0,2,0,28,50,75,85,20,30,40,0,0,1,0,0,0
10101,sandshrew-alola,27,51,7,400,60,46,0,sandshrew,1,,11,10,6,6,4,255,70,0,20,0,2,0,28,50,75,90,10,35,40,0,0,1,0,0,0
28,sandslash,28,52,10,295,158,47,1,sandslash,1,27,11,10,6,6,4,90,70,0,20,0,2,0,29,75,100,110,45,55,65,0,0,2,0,0,0
10102,sandslash-alola,28,53,12,550,158,48,0,sandslash,1,27,11,10,6,6,4,90,70,0,20,0,2,0,29,75,100,120,25,65,65,0,0,2,0,0,0
29,nidoran-f,29,54,4,70,55,49,1,nidoran-f,1,,12,2,8,3,8,235,70,0,20,0,4,0,30,55,47,52,40,40,41,1,0,0,0,0,0
30,nidorina,30,55,8,200,128,50,1,nidorina,1,29,12,2,8,3,8,120,70,0,20,0,4,0,31,70,62,67,55,55,56,2,0,0,0,0,0
31,nidoqueen,31,56,13,600,227,51,1,nidoqueen,1,30,12,2,6,3,8,45,70,0,20,0,4,0,32,90,92,87,75,85,76,3,0,0,0,0,0
32,nidoran-m,32,57,5,90,55,52,1,nidoran-m,1,,13,7,8,3,0,235,70,0,20,0,4,0,33,46,57,40,40,40,50,0,1,0,0,0,0
33,nidorino,33,58,9,195,128,53,1,nidorino,1,32,13,7,8,3,0,120,70,0,20,0,4,0,34,61,72,57,55,55,65,0,2,0,0,0,0
34,nidoking,34,59,14,620,227,54,1,nidoking,1,33,13,7,6,3,0,45,70,0,20,0,4,0,35,81,102,77,85,75,85,0,3,0,0,0,0
35,clefairy,35,60,6,75,113,56,1,clefairy,1,173,14,6,6,4,6,150,140,0,10,0,3,0,37,70,45,48,60,65,35,2,0,0,0,0,0
36,clefable,36,61,13,400,217,57,1,clefable,1,35,14,6,6,4,6,25,140,0,10,0,3,0,38,95,70,73,95,90,60,3,0,0,0,0,0
37,vulpix,37,62,6,99,60,58,1,vulpix,1,,15,3,8,3,6,190,70,0,20,0,2,0,39,38,41,40,50,65,65,0,0,0,0,0,1
10103,vulpix-alola,37,63,6,99,60,59,0,vulpix,1,,15,3,8,3,6,190,70,0,20,0,2,0,39,38,41,40,50,65,65,0,0,0,0,0,1
38,ninetales,38,64,11,199,177,60,1,ninetales,1,37,15,10,8,3,6,75,70,0,20,0,2,0,40,73,76,75,81,100,100,0,0,0,0,1,1
10104,ninetales-alola,38,65,11,199,177,61,0,ninetales,1,37,15,10,8,3,6,75,70,0,20,0,2,0,40,73,67,75,81,100,109,0,0,0,0,0,2
39,jigglypuff,39,66,5,55,95,63,1,jigglypuff,1,174,16,6,12,3,6,170,70,0,10,0,3,0,42,115,45,20,45,25,20,2,0,0,0,0,0
40,wigglytuff,40,67,10,120,196,64,1,wigglytuff,1,39,16,6,12,3,6,50,70,0,10,0,3,0,43,140,70,45,85,50,45,3,0,0,0,0,0
41,zubat,41,68,8,75,49,65,1,zubat,1,,17,7,9,1,4,255,70,0,15,1,2,0,44,40,45,35,30,40,55,0,0,0,0,0,1
42,golbat,42,70,16,550,159,66,1,golbat,1,41,17,7,9,1,4,90,70,0,15,1,2,0,45,75,80,70,65,75,90,0,0,0,0,0,2
43,oddish,43,72,5,54,64,68,1,oddish,1,,18,2,7,3,4,255,70,0,20,0,4,0,47,45,50,55,75,65,30,0,0,0,1,0,0
44,gloom,44,73,8,86,138,69,1,gloom,1,43,18,2,12,3,4,120,70,0,20,1,4,0,48,60,65,70,85,75,40,0,0,0,2,0,0
45,vileplume,45,75,12,186,221,70,1,vileplume,1,44,18,8,12,3,4,45,70,0,20,1,4,0,49,75,80,85,110,90,50,0,0,0,3,0,0
46,paras,46,77,3,54,57,72,1,paras,1,,19,8,14,2,4,190,70,0,20,0,2,0,51,35,70,55,45,55,25,0,1,0,0,0,0
47,parasect,47,78,10,295,142,73,1,parasect,1,46,19,8,14,2,4,75,70,0,20,0,2,0,52,60,95,80,60,80,30,0,2,1,0,0,0
48,venonat,48,79,10,300,61,74,1,venonat,1,,20,7,12,2,4,190,70,0,20,0,2,0,53,60,55,50,40,55,45,0,0,0,0,1,0
49,venomoth,49,80,15,125,158,75,1,venomoth,1,48,20,7,13,2,4,75,70,0,20,0,2,0,54,70,65,60,90,75,90,0,0,0,1,0,1
50,diglett,50,81,2,8,53,76,1,diglett,1,,21,3,5,1,4,255,70,0,20,0,2,0,55,10,55,25,35,45,95,0,0,0,0,0,1
10105,diglett-alola,50,82,2,10,53,77,0,diglett,1,,21,3,5,1,4,255,70,0,20,0,2,0,55,10,55,30,35,45,90,0,0,0,0,0,1
51,dugtrio,51,83,7,333,149,78,1,dugtrio,1,50,21,3,11,1,4,50,70,0,20,0,2,0,56,35,100,50,50,70,120,0,0,0,0,0,2
10106,dugtrio-alola,51,84,7,666,149,79,0,dugtrio,1,50,21,3,11,1,4,50,70,0,20,0,2,0,56,35,100,60,50,70,110,0,2,0,0,0,0
52,meowth,52,85,4,42,58,80,1,meowth,1,,22,10,8,8,4,255,70,0,20,0,2,0,57,40,45,35,40,40,90,0,0,0,0,0,1
10107,meowth-alola,52,86,4,42,58,81,0,meowth,1,,22,10,8,8,4,255,70,0,20,0,2,0,57,40,35,35,50,40,90,0,0,0,0,0,1
53,persian,53,87,10,320,154,82,1,persian,1,52,22,10,8,8,4,90,70,0,20,0,2,0,58,65,70,60,65,65,115,0,0,0,0,0,2
10108,persian-alola,53,88,11,330,154,83,0,persian,1,52,22,10,8,8,4,90,70,0,20,0,2,0,58,65,60,60,75,65,115,0,0,0,0,0,2
54,psyduck,54,89,8,196,64,84,1,psyduck,1,,23,10,6,9,4,190,70,0,20,0,2,0,59,50,52,48,65,50,55,0,0,0,1,0,0
55,golduck,55,90,17,766,175,85,1,golduck,1,54,23,2,6,9,4,75,70,0,20,0,2,0,60,80,82,78,95,80,85,0,0,0,2,0,0
56,mankey,56,92,5,280,61,86,1,mankey,1,,24,3,6,4,4,190,70,0,20,0,2,0,61,40,80,35,35,45,70,0,1,0,0,0,0
57,primeape,57,93,10,320,159,87,1,primeape,1,56,24,3,6,4,4,75,70,0,20,0,2,0,62,65,105,60,60,70,95,0,2,0,0,0,0
58,growlithe,58,94,7,190,70,88,1,growlithe,1,,25,3,8,3,2,190,70,0,20,0,1,0,63,55,70,45,70,50,60,0,1,0,0,0,0
59,arcanine,59,95,19,1550,194,89,1,arcanine,1,58,25,3,8,3,2,75,70,0,20,0,1,0,64,90,110,80,100,80,95,0,2,0,0,0,0
60,poliwag,60,96,6,124,60,90,1,poliwag,1,,26,2,7,9,4,255,70,0,20,0,4,0,65,40,50,40,40,40,90,0,0,0,0,0,1
61,poliwhirl,61,97,10,200,135,91,1,poliwhirl,1,60,26,2,12,9,4,120,70,0,20,0,4,0,66,65,65,65,50,50,90,0,0,0,0,0,2
62,poliwrath,62,98,13,540,230,92,1,poliwrath,1,61,26,2,12,9,4,45,70,0,20,0,4,0,67,90,95,95,70,90,70,0,0,3,0,0,0
63,abra,63,99,9,195,62,94,1,abra,1,,27,3,6,8,2,200,70,0,20,0,4,0,69,25,20,15,105,55,90,0,0,0,1,0,0
64,kadabra,64,100,13,565,140,95,1,kadabra,1,63,27,3,6,8,2,100,70,0,20,1,4,0,70,40,35,30,120,70,105,0,0,0,2,0,0
65,alakazam,65,101,15,480,225,96,1,alakazam,1,64,27,3,12,8,2,50,70,0,20,1,4,1,71,55,50,45,135,95,120,0,0,0,3,0,0
10037,alakazam-mega,65,102,12,480,270,97,0,alakazam,1,64,27,3,12,8,2,50,70,0,20,1,4,1,71,55,50,65,175,105,150,0,0,0,3,0,0
66,machop,66,103,8,195,61,98,1,machop,1,,28,4,6,4,2,180,70,0,20,0,4,0,72,70,80,50,35,35,35,0,1,0,0,0,0
67,machoke,67,104,15,705,142,99,1,machoke,1,66,28,4,12,4,2,90,70,0,20,0,4,0,73,80,100,70,50,60,45,0,2,0,0,0,0
68,machamp,68,105,16,1300,227,100,1,machamp,1,67,28,4,12,4,2,45,70,0,20,0,4,0,74,90,130,80,65,85,55,0,3,0,0,0,0
69,bellsprout,69,107,7,40,60,101,1,bellsprout,1,,29,5,12,2,4,255,70,0,20,0,4,0,75,50,75,35,70,30,40,0,1,0,0,0,0
70,weepinbell,70,109,10,64,137,102,1,weepinbell,1,69,29,5,5,2,4,120,70,0,20,0,4,0,76,65,90,50,85,45,55,0,2,0,0,0,0
71,victreebel,71,110,17,155,221,103,1,victreebel,1,70,29,5,5,2,4,45,70,0,20,0,4,0,77,80,105,65,100,70,70,0,3,0,0,0,0
72,tentacool,72,111,9,455,67,104,1,tentacool,1,,30,2,10,7,4,190,70,0,20,0,1,0,78,40,40,35,50,100,70,0,0,0,0,1,0
73,tentacruel,73,112,16,550,180,105,1,tentacruel,1,72,30,2,10,7,4,60,70,0,20,0,1,0,79,80,70,65,80,120,100,0,0,0,0,2,0
74,geodude,74,113,4,200,60,106,1,geodude,1,,31,3,4,4,4,255,70,0,15,0,4,0,80,40,80,100,30,30,20,0,0,1,0,0,0
10109,geodude-alola,74,114,4,203,60,107,0,geodude,1,,31,3,4,4,4,255,70,0,15,0,4,0,80,40,80,100,30,30,20,0,0,1,0,0,0
75,graveler,75,115,10,1050,137,108,1,graveler,1,74,31,3,12,4,4,120,70,0,15,0,4,0,81,55,95,115,45,45,35,0,0,2,0,0,0
10110,graveler-alola,75,116,10,1100,137,109,0,graveler,1,74,31,3,12,4,4,120,70,0,15,0,4,0,81,55,95,115,45,45,35,0,0,2,0,0,0
76,golem,76,117,14,3000,223,110,1,golem,1,75,31,3,12,4,4,45,70,0,15,0,4,0,82,80,120,130,55,65,45,0,0,3,0,0,0
10111,golem-alola,76,118,17,3160,223,111,0,golem,1,75,31,3,12,4,4,45,70,0,15,0,4,0,82,80,120,130,55,65,45,0,0,3,0,0,0
77,ponyta,77,119,10,300,82,112,1,ponyta,1,,32,10,8,3,4,190,70,0,20,0,2,0,83,50,85,55,65,65,90,0,0,0,0,0,1
78,rapidash,78,120,17,950,175,113,1,rapidash,1,77,32,10,8,3,4,60,70,0,20,0,2,0,84,65,100,70,80,80,105,0,0,0,0,0,2
79,slowpoke,79,121,12,360,63,114,1,slowpoke,1,,33,6,8,9,4,190,70,0,20,0,2,0,85,90,65,65,40,40,15,1,0,0,0,0,0
80,slowbro,80,122,16,785,172,115,1,slowbro,1,79,33,6,6,9,4,75,70,0,20,0,2,1,86,95,75,110,100,80,30,0,0,2,0,0,0
10071,slowbro-mega,80,123,20,1200,207,116,0,slowbro,1,79,33,6,6,9,4,75,70,0,20,0,2,1,86,95,75,180,130,80,30,0,0,2,0,0,0
81,magnemite,81,124,3,60,65,118,1,magnemite,1,,34,4,4,6,-1,190,70,0,20,0,2,0,88,25,35,70,95,55,45,0,0,0,1,0,0
82,magneton,82,125,10,600,163,119,1,magneton,1,81,34,4,11,6,-1,60,70,0,20,0,2,0,89,50,60,95,120,70,70,0,0,0,2,0,0
83,farfetchd,83,126,8,150,132,121,1,farfetchd,1,,35,3,9,3,4,45,70,0,20,0,2,0,91,52,90,55,58,62,60,0,1,0,0,0,0
84,doduo,84,127,14,392,62,122,1,doduo,1,,36,3,7,3,4,190,70,0,20,1,2,0,92,35,85,45,35,35,75,0,1,0,0,0,0
85,dodrio,85,128,18,852,165,123,1,dodrio,1,84,36,3,7,3,4,45,70,0,20,1,2,0,93,60,110,70,60,60,110,0,2,0,0,0,0
86,seel,86,129,11,900,65,124,1,seel,1,,37,9,3,7,4,190,70,0,20,0,2,0,94,65,45,55,45,70,45,0,0,0,0,1,0
87,dewgong,87,130,17,1200,166,125,1,dewgong,1,86,37,9,3,7,4,75,70,0,20,0,2,0,95,90,70,80,70,95,70,0,0,0,0,2,0
88,grimer,88,131,9,300,65,126,1,grimer,1,,38,7,4,8,4,190,70,0,20,0,2,0,96,80,80,50,40,50,25,1,0,0,0,0,0
10112,grimer-alola,88,132,7,420,65,127,0,grimer,1,,38,7,4,8,4,190,70,0,20,0,2,0,96,80,80,50,40,50,25,1,0,0,0,0,0
89,muk,89,134,12,300,175,128,1,muk,1,88,38,7,4,8,4,75,70,0,20,0,2,0,97,105,105,75,65,100,50,1,1,0,0,0,0
10113,muk-alola,89,136,10,520,175,129,0,muk,1,88,38,7,4,8,4,75,70,0,20,0,2,0,97,105,105,75,65,100,50,1,1,0,0,0,0
90,shellder,90,137,3,40,61,130,1,shellder,1,,39,7,1,7,4,190,70,0,20,0,1,0,98,30,65,100,45,25,40,0,0,1,0,0,0
91,cloyster,91,138,15,1325,184,131,1,cloyster,1,90,39,7,1,7,4,60,70,0,20,0,1,0,99,50,95,180,85,45,70,0,0,2,0,0,0
92,gastly,92,139,13,1,62,132,1,gastly,1,,40,7,1,1,4,190,70,0,20,0,4,0,100,30,35,30,100,35,80,0,0,0,1,0,0
93,haunter,93,140,16,1,142,133,1,haunter,1,92,40,7,4,1,4,90,70,0,20,0,4,0,101,45,50,45,115,55,95,0,0,0,2,0,0
94,gengar,94,141,15,405,225,134,1,gengar,1,93,40,7,6,1,4,45,70,0,20,0,4,1,102,60,65,60,130,75,110,0,0,0,3,0,0
10038,gengar-mega,94,142,14,405,270,135,0,gengar,1,93,40,7,6,1,4,45,70,0,20,0,4,1,102,60,65,80,170,95,130,0,0,0,3,0,0
95,onix,95,143,88,2100,77,136,1,onix,1,,41,4,2,1,4,45,70,0,25,0,2,0,103,35,45,160,30,45,70,0,0,1,0,0,0
96,drowzee,96,144,10,324,66,139,1,drowzee,1,,42,10,12,3,4,190,70,0,20,0,2,0,105,60,48,45,43,90,42,0,0,0,0,1,0
97,hypno,97,145,16,756,169,140,1,hypno,1,96,42,10,12,3,4,75,70,0,20,1,2,0,106,85,73,70,73,115,67,0,0,0,0,2,0
98,krabby,98,146,4,65,65,141,1,krabby,1,,43,8,14,9,4,225,70,0,20,0,2,0,107,30,105,90,25,25,50,0,1,0,0,0,0
99,kingler,99,147,13,600,166,142,1,kingler,1,98,43,8,14,9,4,60,70,0,20,0,2,0,108,55,130,115,50,50,75,0,2,0,0,0,0
100,voltorb,100,148,5,104,66,143,1,voltorb,1,,44,8,1,8,-1,190,70,0,20,0,2,0,109,40,30,50,55,55,100,0,0,0,0,0,1
101,electrode,101,149,12,666,172,144,1,electrode,1,100,44,8,1,8,-1,60,70,0,20,0,2,0,110,60,50,70,80,80,150,0,0,0,0,0,2
102,exeggcute,102,150,4,25,65,145,1,exeggcute,1,,45,6,11,2,4,90,70,0,20,0,1,0,111,60,40,80,60,45,40,0,0,1,0,0,0
103,exeggutor,103,152,20,1200,186,146,1,exeggutor,1,102,45,10,7,2,4,45,70,0,20,0,1,0,112,95,95,85,125,75,55,0,0,0,2,0,0
10114,exeggutor-alola,103,153,109,4156,186,147,0,exeggutor,1,102,45,10,7,2,4,45,70,0,20,0,1,0,112,95,105,85,125,75,45,0,0,0,2,0,0
104,cubone,104,154,4,65,64,148,1,cubone,1,,46,3,6,4,4,190,70,0,20,0,2,0,113,50,50,95,40,50,35,0,0,1,0,0,0
105,marowak,105,155,10,450,149,149,1,marowak,1,104,46,3,6,4,4,75,70,0,20,0,2,0,114,60,80,110,50,80,45,0,0,2,0,0,0
10115,marowak-alola,105,156,10,340,149,150,0,marowak,1,104,46,3,6,4,4,75,70,0,20,0,2,0,114,60,80,110,50,80,45,0,0,2,0,0,0
10149,marowak-totem,105,157,17,980,149,151,0,marowak,1,104,46,3,6,4,4,75,70,0,20,0,2,0,114,60,80,110,50,80,45,0,0,2,0,0,0
106,hitmonlee,106,158,15,498,159,153,1,hitmonlee,1,236,47,3,12,8,0,45,70,0,25,0,2,0,116,50,120,53,35,110,87,0,2,0,0,0,0
107,hitmonchan,107,159,14,502,159,154,1,hitmonchan,1,236,47,3,12,8,0,45,70,0,25,0,2,0,117,50,105,79,35,110,76,0,0,0,0,2,0
108,lickitung,108,160,12,655,77,156,1,lickitung,1,,48,6,6,3,4,45,70,0,20,0,2,0,119,90,55,75,60,75,30,2,0,0,0,0,0
109,koffing,109,161,6,10,68,158,1,koffing,1,,49,7,1,8,4,190,70,0,20,0,2,0,121,40,65,95,60,45,35,0,0,1,0,0,0
110,weezing,110,162,12,95,172,159,1,weezing,1,109,49,7,11,8,4,60,70,0,20,0,2,0,122,65,90,120,85,70,60,0,0,2,0,0,0
111,rhyhorn,111,163,10,1150,69,160,1,rhyhorn,1,,50,4,8,6,4,120,70,0,20,1,1,0,123,80,85,95,30,30,25,0,0,1,0,0,0
112,rhydon,112,164,19,1200,170,161,1,rhydon,1,111,50,4,6,6,4,60,70,0,20,1,1,0,124,105,130,120,45,45,40,0,2,0,0,0,0
113,chansey,113,165,11,346,395,164,1,chansey,1,440,51,6,6,8,8,30,140,0,40,0,3,0,127,250,5,5,35,105,50,2,0,0,0,0,0
114,tangela,114,166,10,350,87,166,1,tangela,1,,52,2,7,3,4,45,70,0,20,0,2,0,129,65,55,115,100,40,60,0,0,1,0,0,0
115,kangaskhan,115,167,22,800,172,168,1,kangaskhan,1,,53,3,6,3,8,45,70,0,20,0,2,1,131,105,95,80,40,80,90,2,0,0,0,0,0
10039,kangaskhan-mega,115,168,22,1000,207,169,0,kangaskhan,1,,53,3,6,3,8,45,70,0,20,0,2,1,131,105,125,100,60,100,100,2,0,0,0,0,0
116,horsea,116,170,4,80,59,170,1,horsea,1,,54,2,5,7,4,225,70,0,20,0,2,0,132,30,40,70,70,25,60,0,0,0,1,0,0
117,seadra,117,172,12,250,154,171,1,seadra,1,116,54,2,5,7,4,75,70,0,20,0,2,0,133,55,65,95,95,45,85,0,0,1,1,0,0
118,goldeen,118,173,6,150,64,173,1,goldeen,1,,55,8,3,9,4,225,70,0,20,1,2,0,135,45,67,60,35,50,63,0,1,0,0,0,0
119,seaking,119,174,13,390,158,174,1,seaking,1,118,55,8,3,9,4,60,70,0,20,1,2,0,136,80,92,65,65,80,68,0,2,0,0,0,0
120,staryu,120,175,8,345,68,175,1,staryu,1,,56,3,5,7,-1,225,70,0,20,0,1,0,137,30,45,55,70,55,85,0,0,0,0,0,1
121,starmie,121,176,11,800,182,176,1,starmie,1,120,56,7,5,7,-1,60,70,0,20,0,1,0,138,60,75,85,100,85,115,0,0,0,0,0,2
122,mr-mime,122,177,13,545,161,178,1,mr-mime,1,439,57,6,12,8,4,45,70,0,25,0,2,0,140,40,45,65,100,120,90,0,0,0,0,2,0
123,scyther,123,178,15,560,100,179,1,scyther,1,,58,5,13,3,4,45,70,0,25,1,2,0,141,70,110,80,55,80,105,0,1,0,0,0,0
124,jynx,124,180,14,406,159,183,1,jynx,1,238,59,8,12,8,8,45,70,0,25,0,2,0,144,65,50,35,115,95,95,0,0,0,2,0,0
125,electabuzz,125,182,11,300,172,185,1,electabuzz,1,239,60,10,6,3,2,45,70,0,25,0,2,0,146,65,83,57,95,85,105,0,0,0,0,0,2
