individual_id,species_id,pokemon_id,identifier,identifier_species,has_gender_differences,gender_rate,gender,height,height_meters,height_ft,individual_height_ft,weight,weight_kg,weight_lbs,individual_weight_lbs,base_exp,order,forms_switchable,is_default,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,capture_rate,base_happiness,is_baby,hatch_counter,growth_rate_id,order_species,base_hp,base_attack,base_defense,base_special_attack,base_special_defense,base_speed,effort_hp,effort_attack,effort_defense,effort_special_attack,effort_special_defense,effort_speed
1803,4,4,charmander,charmander,0,1,male,6,0.6,1.817,1.92,85,8.5,18.7,19.77,62,5,0,1,1,NA,2,8,6,4,45,70,0,20,4,4,39,52,43,60,50,65,0,0,0,0,0,1
4523,5,5,charmeleon,charmeleon,0,1,female,11,1.1,3.331,3.28,190,19,41.9,41.21,142,6,0,1,1,4,2,8,6,4,45,70,0,20,4,5,58,64,58,80,65,80,0,0,0,1,0,1
4370,5,5,charmeleon,charmeleon,0,1,male,11,1.1,3.331,3.31,190,19,41.9,41.69,142,6,0,1,1,4,2,8,6,4,45,70,0,20,4,5,58,64,58,80,65,80,0,0,0,1,0,1
308,6,6,charizard,charizard,0,1,female,17,1.7,5.148,5.25,905,90.5,199.5,203.57,240,7,1,1,1,5,2,8,6,4,45,70,0,20,4,6,78,84,78,109,85,100,0,0,0,3,0,0
2894,6,6,charizard,charizard,0,1,male,17,1.7,5.148,5.07,905,90.5,199.5,196.40,240,7,1,1,1,5,2,8,6,4,45,70,0,20,4,6,78,84,78,109,85,100,0,0,0,3,0,0
5,6,6,charizard,charizard,0,1,female,17,1.7,5.148,5.05,905,90.5,199.5,195.55,240,7,1,1,1,5,2,8,6,4,45,70,0,20,4,6,78,84,78,109,85,100,0,0,0,3,0,0
3542,6,6,charizard,charizard,0,1,female,17,1.7,5.148,5.15,905,90.5,199.5,199.50,240,7,1,1,1,5,2,8,6,4,45,70,0,20,4,6,78,84,78,109,85,100,0,0,0,3,0,0
4530,6,6,charizard,charizard,0,1,male,17,1.7,5.148,5.01,905,90.5,199.5,193.96,240,7,1,1,1,5,2,8,6,4,45,70,0,20,4,6,78,84,78,109,85,100,0,0,0,3,0,0
504,6,6,charizard,charizard,0,1,male,17,1.7,5.148,5.02,905,90.5,199.5,194.62,240,7,1,1,1,5,2,8,6,4,45,70,0,20,4,6,78,84,78,109,85,100,0,0,0,3,0,0
4088,6,6,charizard,charizard,0,1,male,17,1.7,5.148,5.10,905,90.5,199.5,197.45,240,7,1,1,1,5,2,8,6,4,45,70,0,20,4,6,78,84,78,109,85,100,0,0,0,3,0,0
738,6,6,charizard,charizard,0,1,female,17,1.7,5.148,4.98,905,90.5,199.5,192.95,240,7,1,1,1,5,2,8,6,4,45,70,0,20,4,6,78,84,78,109,85,100,0,0,0,3,0,0
1948,6,10034,charizard-mega-x,charizard,0,1,male,17,1.7,5.148,5.05,1105,110.5,243.6,239.15,285,8,1,0,1,5,2,8,6,4,45,70,0,20,4,6,78,130,111,130,85,100,0,0,0,3,0,0
2946,6,10034,charizard-mega-x,charizard,0,1,male,17,1.7,5.148,5.23,1105,110.5,243.6,247.53,285,8,1,0,1,5,2,8,6,4,45,70,0,20,4,6,78,130,111,130,85,100,0,0,0,3,0,0
120,6,10034,charizard-mega-x,charizard,0,1,male,17,1.7,5.148,5.20,1105,110.5,243.6,246.01,285,8,1,0,1,5,2,8,6,4,45,70,0,20,4,6,78,130,111,130,85,100,0,0,0,3,0,0
231,6,10034,charizard-mega-x,charizard,0,1,female,17,1.7,5.148,5.11,1105,110.5,243.6,241.66,285,8,1,0,1,5,2,8,6,4,45,70,0,20,4,6,78,130,111,130,85,100,0,0,0,3,0,0
3421,6,10035,charizard-mega-y,charizard,0,1,male,17,1.7,5.148,5.16,1005,100.5,221.6,222.29,285,9,1,0,1,5,2,8,6,4,45,70,0,20,4,6,78,104,78,159,115,100,0,0,0,3,0,0
1745,6,10035,charizard-mega-y,charizard,0,1,female,17,1.7,5.148,5.21,1005,100.5,221.6,224.05,285,9,1,0,1,5,2,8,6,4,45,70,0,20,4,6,78,104,78,159,115,100,0,0,0,3,0,0
1001,6,10035,charizard-mega-y,charizard,0,1,female,17,1.7,5.148,5.09,1005,100.5,221.6,218.97,285,9,1,0,1,5,2,8,6,4,45,70,0,20,4,6,78,104,78,159,115,100,0,0,0,3,0,0
2217,6,10035,charizard-mega-y,charizard,0,1,male,17,1.7,5.148,5.08,1005,100.5,221.6,218.63,285,9,1,0,1,5,2,8,6,4,45,70,0,20,4,6,78,104,78,159,115,100,0,0,0,3,0,0
2437,6,10035,charizard-mega-y,charizard,0,1,male,17,1.7,5.148,5.14,1005,100.5,221.6,221.08,285,9,1,0,1,5,2,8,6,4,45,70,0,20,4,6,78,104,78,159,115,100,0,0,0,3,0,0
4702,6,10035,charizard-mega-y,charizard,0,1,female,17,1.7,5.148,5.22,1005,100.5,221.6,224.74,285,9,1,0,1,5,2,8,6,4,45,70,0,20,4,6,78,104,78,159,115,100,0,0,0,3,0,0
2484,6,10035,charizard-mega-y,charizard,0,1,female,17,1.7,5.148,5.03,1005,100.5,221.6,216.65,285,9,1,0,1,5,2,8,6,4,45,70,0,20,4,6,78,104,78,159,115,100,0,0,0,3,0,0
4605,6,10035,charizard-mega-y,charizard,0,1,female,17,1.7,5.148,5.35,1005,100.5,221.6,230.12,285,9,1,0,1,5,2,8,6,4,45,70,0,20,4,6,78,104,78,159,115,100,0,0,0,3,0,0
3372,6,10035,charizard-mega-y,charizard,0,1,male,17,1.7,5.148,5.25,1005,100.5,221.6,225.99,285,9,1,0,1,5,2,8,6,4,45,70,0,20,4,6,78,104,78,159,115,100,0,0,0,3,0,0
2917,7,7,squirtle,squirtle,0,1,male,5,0.5,1.514,1.43,90,9,19.8,18.68,63,10,0,1,1,NA,3,2,6,9,45,70,0,20,4,7,44,48,65,50,64,43,0,0,1,0,0,0
2854,7,7,squirtle,squirtle,0,1,female,5,0.5,1.514,1.52,90,9,19.8,19.87,63,10,0,1,1,NA,3,2,6,9,45,70,0,20,4,7,44,48,65,50,64,43,0,0,1,0,0,0
2463,7,7,squirtle,squirtle,0,1,male,5,0.5,1.514,1.52,90,9,19.8,19.81,63,10,0,1,1,NA,3,2,6,9,45,70,0,20,4,7,44,48,65,50,64,43,0,0,1,0,0,0
1568,8,8,wartortle,wartortle,0,1,male,10,1,3.028,3.00,225,22.5,49.6,49.21,142,11,0,1,1,7,3,2,6,9,45,70,0,20,4,8,59,63,80,65,80,58,0,0,1,0,1,0
4143,8,8,wartortle,wartortle,0,1,female,10,1,3.028,2.98,225,22.5,49.6,48.83,142,11,0,1,1,7,3,2,6,9,45,70,0,20,4,8,59,63,80,65,80,58,0,0,1,0,1,0
3629,8,8,wartortle,wartortle,0,1,male,10,1,3.028,3.02,225,22.5,49.6,49.39,142,11,0,1,1,7,3,2,6,9,45,70,0,20,4,8,59,63,80,65,80,58,0,0,1,0,1,0
2776,8,8,wartortle,wartortle,0,1,male,10,1,3.028,3.22,225,22.5,49.6,52.75,142,11,0,1,1,7,3,2,6,9,45,70,0,20,4,8,59,63,80,65,80,58,0,0,1,0,1,0
4010,8,8,wartortle,wartortle,0,1,male,10,1,3.028,2.91,225,22.5,49.6,47.63,142,11,0,1,1,7,3,2,6,9,45,70,0,20,4,8,59,63,80,65,80,58,0,0,1,0,1,0
3546,8,8,wartortle,wartortle,0,1,male,10,1,3.028,3.00,225,22.5,49.6,49.11,142,11,0,1,1,7,3,2,6,9,45,70,0,20,4,8,59,63,80,65,80,58,0,0,1,0,1,0
465,8,8,wartortle,wartortle,0,1,female,10,1,3.028,2.95,225,22.5,49.6,48.31,142,11,0,1,1,7,3,2,6,9,45,70,0,20,4,8,59,63,80,65,80,58,0,0,1,0,1,0
112,8,8,wartortle,wartortle,0,1,female,10,1,3.028,2.98,225,22.5,49.6,48.83,142,11,0,1,1,7,3,2,6,9,45,70,0,20,4,8,59,63,80,65,80,58,0,0,1,0,1,0
2868,8,8,wartortle,wartortle,0,1,male,10,1,3.028,3.07,225,22.5,49.6,50.35,142,11,0,1,1,7,3,2,6,9,45,70,0,20,4,8,59,63,80,65,80,58,0,0,1,0,1,0
586,9,9,blastoise,blastoise,0,1,male,16,1.6,4.845,4.76,855,85.5,188.5,185.12,239,12,1,1,1,8,3,2,6,9,45,70,0,20,4,9,79,83,100,85,105,78,0,0,0,0,3,0
1237,9,9,blastoise,blastoise,0,1,male,16,1.6,4.845,4.92,855,85.5,188.5,191.53,239,12,1,1,1,8,3,2,6,9,45,70,0,20,4,9,79,83,100,85,105,78,0,0,0,0,3,0
1416,9,9,blastoise,blastoise,0,1,male,16,1.6,4.845,4.88,855,85.5,188.5,189.94,239,12,1,1,1,8,3,2,6,9,45,70,0,20,4,9,79,83,100,85,105,78,0,0,0,0,3,0
4724,9,9,blastoise,blastoise,0,1,male,16,1.6,4.845,4.90,855,85.5,188.5,190.48,239,12,1,1,1,8,3,2,6,9,45,70,0,20,4,9,79,83,100,85,105,78,0,0,0,0,3,0
3828,9,9,blastoise,blastoise,0,1,male,16,1.6,4.845,4.86,855,85.5,188.5,189.08,239,12,1,1,1,8,3,2,6,9,45,70,0,20,4,9,79,83,100,85,105,78,0,0,0,0,3,0
3928,9,9,blastoise,blastoise,0,1,male,16,1.6,4.845,4.81,855,85.5,188.5,187.22,239,12,1,1,1,8,3,2,6,9,45,70,0,20,4,9,79,83,100,85,105,78,0,0,0,0,3,0
728,9,9,blastoise,blastoise,0,1,female,16,1.6,4.845,4.86,855,85.5,188.5,189.08,239,12,1,1,1,8,3,2,6,9,45,70,0,20,4,9,79,83,100,85,105,78,0,0,0,0,3,0
4581,9,9,blastoise,blastoise,0,1,female,16,1.6,4.845,4.83,855,85.5,188.5,187.84,239,12,1,1,1,8,3,2,6,9,45,70,0,20,4,9,79,83,100,85,105,78,0,0,0,0,3,0
4192,9,9,blastoise,blastoise,0,1,female,16,1.6,4.845,4.80,855,85.5,188.5,186.71,239,12,1,1,1,8,3,2,6,9,45,70,0,20,4,9,79,83,100,85,105,78,0,0,0,0,3,0
2879,9,9,blastoise,blastoise,0,1,female,16,1.6,4.845,4.89,855,85.5,188.5,190.33,239,12,1,1,1,8,3,2,6,9,45,70,0,20,4,9,79,83,100,85,105,78,0,0,0,0,3,0
3801,9,9,blastoise,blastoise,0,1,male,16,1.6,4.845,4.87,855,85.5,188.5,189.39,239,12,1,1,1,8,3,2,6,9,45,70,0,20,4,9,79,83,100,85,105,78,0,0,0,0,3,0
4461,9,10036,blastoise-mega,blastoise,0,1,female,16,1.6,4.845,4.91,1011,101.1,222.9,225.71,284,13,1,0,1,8,3,2,6,9,45,70,0,20,4,9,79,103,120,135,115,78,0,0,0,0,3,0
3069,9,10036,blastoise-mega,blastoise,0,1,female,16,1.6,4.845,4.83,1011,101.1,222.9,222.30,284,13,1,0,1,8,3,2,6,9,45,70,0,20,4,9,79,103,120,135,115,78,0,0,0,0,3,0
2750,9,10036,blastoise-mega,blastoise,0,1,male,16,1.6,4.845,4.71,1011,101.1,222.9,216.78,284,13,1,0,1,8,3,2,6,9,45,70,0,20,4,9,79,103,120,135,115,78,0,0,0,0,3,0
4436,9,10036,blastoise-mega,blastoise,0,1,female,16,1.6,4.845,4.85,1011,101.1,222.9,223.27,284,13,1,0,1,8,3,2,6,9,45,70,0,20,4,9,79,103,120,135,115,78,0,0,0,0,3,0
924,10,10,caterpie,caterpie,0,4,female,3,0.3,0.908,0.81,29,2.9,6.4,5.69,39,14,0,1,1,NA,4,5,14,2,255,70,0,15,2,10,45,30,35,20,20,45,1,0,0,0,0,0
1387,10,10,caterpie,caterpie,0,4,female,3,0.3,0.908,0.96,29,2.9,6.4,6.79,39,14,0,1,1,NA,4,5,14,2,255,70,0,15,2,10,45,30,35,20,20,45,1,0,0,0,0,0
3506,10,10,caterpie,caterpie,0,4,female,3,0.3,0.908,0.91,29,2.9,6.4,6.39,39,14,0,1,1,NA,4,5,14,2,255,70,0,15,2,10,45,30,35,20,20,45,1,0,0,0,0,0
3595,10,10,caterpie,caterpie,0,4,female,3,0.3,0.908,0.88,29,2.9,6.4,6.19,39,14,0,1,1,NA,4,5,14,2,255,70,0,15,2,10,45,30,35,20,20,45,1,0,0,0,0,0
3854,10,10,caterpie,caterpie,0,4,female,3,0.3,0.908,0.98,29,2.9,6.4,6.89,39,14,0,1,1,NA,4,5,14,2,255,70,0,15,2,10,45,30,35,20,20,45,1,0,0,0,0,0
3743,10,10,caterpie,caterpie,0,4,male,3,0.3,0.908,0.84,29,2.9,6.4,5.94,39,14,0,1,1,NA,4,5,14,2,255,70,0,15,2,10,45,30,35,20,20,45,1,0,0,0,0,0
3703,10,10,caterpie,caterpie,0,4,female,3,0.3,0.908,1.09,29,2.9,6.4,7.65,39,14,0,1,1,NA,4,5,14,2,255,70,0,15,2,10,45,30,35,20,20,45,1,0,0,0,0,0
3777,10,10,caterpie,caterpie,0,4,female,3,0.3,0.908,0.86,29,2.9,6.4,6.03,39,14,0,1,1,NA,4,5,14,2,255,70,0,15,2,10,45,30,35,20,20,45,1,0,0,0,0,0
95,11,11,metapod,metapod,0,4,female,7,0.7,2.12,2.12,99,9.9,21.8,21.76,72,15,0,1,1,10,4,5,2,2,120,70,0,15,2,11,50,20,55,25,25,30,0,0,2,0,0,0
2816,11,11,metapod,metapod,0,4,male,7,0.7,2.12,2.22,99,9.9,21.8,22.86,72,15,0,1,1,10,4,5,2,2,120,70,0,15,2,11,50,20,55,25,25,30,0,0,2,0,0,0
4138,11,11,metapod,metapod,0,4,male,7,0.7,2.12,2.20,99,9.9,21.8,22.58,72,15,0,1,1,10,4,5,2,2,120,70,0,15,2,11,50,20,55,25,25,30,0,0,2,0,0,0
4698,11,11,metapod,metapod,0,4,male,7,0.7,2.12,2.10,99,9.9,21.8,21.57,72,15,0,1,1,10,4,5,2,2,120,70,0,15,2,11,50,20,55,25,25,30,0,0,2,0,0,0
3602,12,12,butterfree,butterfree,1,4,male,11,1.1,3.331,3.32,320,32,70.5,70.25,178,16,0,1,1,11,4,9,13,2,45,70,0,15,2,12,60,45,50,90,80,70,0,0,0,2,1,0
2240,12,12,butterfree,butterfree,1,4,male,11,1.1,3.331,3.40,320,32,70.5,71.98,178,16,0,1,1,11,4,9,13,2,45,70,0,15,2,12,60,45,50,90,80,70,0,0,0,2,1,0
70,12,12,butterfree,butterfree,1,4,male,11,1.1,3.331,3.45,320,32,70.5,73.10,178,16,0,1,1,11,4,9,13,2,45,70,0,15,2,12,60,45,50,90,80,70,0,0,0,2,1,0
3083,13,13,weedle,weedle,0,4,female,3,0.3,0.908,0.86,32,3.2,7.1,6.71,39,17,0,1,1,NA,5,3,14,2,255,70,0,15,2,13,40,35,30,20,20,50,0,0,0,0,0,1
4952,13,13,weedle,weedle,0,4,male,3,0.3,0.908,0.99,32,3.2,7.1,7.74,39,17,0,1,1,NA,5,3,14,2,255,70,0,15,2,13,40,35,30,20,20,50,0,0,0,0,0,1
573,13,13,weedle,weedle,0,4,female,3,0.3,0.908,0.89,32,3.2,7.1,6.97,39,17,0,1,1,NA,5,3,14,2,255,70,0,15,2,13,40,35,30,20,20,50,0,0,0,0,0,1
326,13,13,weedle,weedle,0,4,male,3,0.3,0.908,0.87,32,3.2,7.1,6.83,39,17,0,1,1,NA,5,3,14,2,255,70,0,15,2,13,40,35,30,20,20,50,0,0,0,0,0,1
2143,13,13,weedle,weedle,0,4,female,3,0.3,0.908,0.84,32,3.2,7.1,6.60,39,17,0,1,1,NA,5,3,14,2,255,70,0,15,2,13,40,35,30,20,20,50,0,0,0,0,0,1
497,13,13,weedle,weedle,0,4,male,3,0.3,0.908,0.90,32,3.2,7.1,7.04,39,17,0,1,1,NA,5,3,14,2,255,70,0,15,2,13,40,35,30,20,20,50,0,0,0,0,0,1
4198,13,13,weedle,weedle,0,4,male,3,0.3,0.908,0.82,32,3.2,7.1,6.40,39,17,0,1,1,NA,5,3,14,2,255,70,0,15,2,13,40,35,30,20,20,50,0,0,0,0,0,1
22,14,14,kakuna,kakuna,0,4,female,6,0.6,1.817,1.68,100,10,22,20.35,72,18,0,1,1,13,5,10,2,2,120,70,0,15,2,14,45,25,50,25,25,35,0,0,2,0,0,0
483,14,14,kakuna,kakuna,0,4,female,6,0.6,1.817,1.77,100,10,22,21.41,72,18,0,1,1,13,5,10,2,2,120,70,0,15,2,14,45,25,50,25,25,35,0,0,2,0,0,0
3416,14,14,kakuna,kakuna,0,4,male,6,0.6,1.817,1.78,100,10,22,21.49,72,18,0,1,1,13,5,10,2,2,120,70,0,15,2,14,45,25,50,25,25,35,0,0,2,0,0,0
424,15,15,beedrill,beedrill,0,4,female,10,1,3.028,3.13,295,29.5,65,67.28,178,19,1,1,1,14,5,10,13,2,45,70,0,15,2,15,65,90,40,45,80,75,0,2,0,0,1,0
1168,15,15,beedrill,beedrill,0,4,female,10,1,3.028,2.91,295,29.5,65,62.47,178,19,1,1,1,14,5,10,13,2,45,70,0,15,2,15,65,90,40,45,80,75,0,2,0,0,1,0
4092,15,15,beedrill,beedrill,0,4,female,10,1,3.028,3.12,295,29.5,65,67.02,178,19,1,1,1,14,5,10,13,2,45,70,0,15,2,15,65,90,40,45,80,75,0,2,0,0,1,0
4464,15,15,beedrill,beedrill,0,4,female,10,1,3.028,3.04,295,29.5,65,65.28,178,19,1,1,1,14,5,10,13,2,45,70,0,15,2,15,65,90,40,45,80,75,0,2,0,0,1,0
1458,15,15,beedrill,beedrill,0,4,female,10,1,3.028,3.08,295,29.5,65,66.05,178,19,1,1,1,14,5,10,13,2,45,70,0,15,2,15,65,90,40,45,80,75,0,2,0,0,1,0
4316,15,15,beedrill,beedrill,0,4,female,10,1,3.028,2.94,295,29.5,65,63.05,178,19,1,1,1,14,5,10,13,2,45,70,0,15,2,15,65,90,40,45,80,75,0,2,0,0,1,0
3732,15,15,beedrill,beedrill,0,4,female,10,1,3.028,3.00,295,29.5,65,64.48,178,19,1,1,1,14,5,10,13,2,45,70,0,15,2,15,65,90,40,45,80,75,0,2,0,0,1,0
3937,15,15,beedrill,beedrill,0,4,female,10,1,3.028,3.11,295,29.5,65,66.76,178,19,1,1,1,14,5,10,13,2,45,70,0,15,2,15,65,90,40,45,80,75,0,2,0,0,1,0
3918,15,10090,beedrill-mega,beedrill,0,4,male,14,1.4,4.239,4.20,405,40.5,89.3,88.37,223,20,1,0,1,14,5,10,13,2,45,70,0,15,2,15,65,150,40,15,80,145,0,2,0,0,1,0
3662,15,10090,beedrill-mega,beedrill,0,4,female,14,1.4,4.239,4.21,405,40.5,89.3,88.58,223,20,1,0,1,14,5,10,13,2,45,70,0,15,2,15,65,150,40,15,80,145,0,2,0,0,1,0
4408,15,10090,beedrill-mega,beedrill,0,4,female,14,1.4,4.239,4.23,405,40.5,89.3,89.15,223,20,1,0,1,14,5,10,13,2,45,70,0,15,2,15,65,150,40,15,80,145,0,2,0,0,1,0
1574,15,10090,beedrill-mega,beedrill,0,4,male,14,1.4,4.239,4.32,405,40.5,89.3,91.03,223,20,1,0,1,14,5,10,13,2,45,70,0,15,2,15,65,150,40,15,80,145,0,2,0,0,1,0
3399,16,16,pidgey,pidgey,0,4,male,3,0.3,0.908,1.04,18,1.8,4,4.57,50,21,0,1,1,NA,6,3,9,2,255,70,0,15,4,16,40,45,40,35,35,56,0,0,0,0,0,1
2709,16,16,pidgey,pidgey,0,4,female,3,0.3,0.908,0.90,18,1.8,4,3.95,50,21,0,1,1,NA,6,3,9,2,255,70,0,15,4,16,40,45,40,35,35,56,0,0,0,0,0,1
2982,16,16,pidgey,pidgey,0,4,male,3,0.3,0.908,0.91,18,1.8,4,3.99,50,21,0,1,1,NA,6,3,9,2,255,70,0,15,4,16,40,45,40,35,35,56,0,0,0,0,0,1
4340,16,16,pidgey,pidgey,0,4,male,3,0.3,0.908,0.79,18,1.8,4,3.46,50,21,0,1,1,NA,6,3,9,2,255,70,0,15,4,16,40,45,40,35,35,56,0,0,0,0,0,1
3066,17,17,pidgeotto,pidgeotto,0,4,male,11,1.1,3.331,3.31,300,30,66.1,65.66,122,22,0,1,1,16,6,3,9,2,120,70,0,15,4,17,63,60,55,50,50,71,0,0,0,0,0,2
2882,17,17,pidgeotto,pidgeotto,0,4,male,11,1.1,3.331,3.33,300,30,66.1,66.10,122,22,0,1,1,16,6,3,9,2,120,70,0,15,4,17,63,60,55,50,50,71,0,0,0,0,0,2
742,17,17,pidgeotto,pidgeotto,0,4,female,11,1.1,3.331,3.41,300,30,66.1,67.57,122,22,0,1,1,16,6,3,9,2,120,70,0,15,4,17,63,60,55,50,50,71,0,0,0,0,0,2
4009,17,17,pidgeotto,pidgeotto,0,4,female,11,1.1,3.331,3.28,300,30,66.1,65.09,122,22,0,1,1,16,6,3,9,2,120,70,0,15,4,17,63,60,55,50,50,71,0,0,0,0,0,2
4661,17,17,pidgeotto,pidgeotto,0,4,female,11,1.1,3.331,3.46,300,30,66.1,68.62,122,22,0,1,1,16,6,3,9,2,120,70,0,15,4,17,63,60,55,50,50,71,0,0,0,0,0,2
999,18,18,pidgeot,pidgeot,0,4,female,15,1.5,4.542,4.64,395,39.5,87.1,88.92,216,23,1,1,1,17,6,3,9,2,45,70,0,15,4,18,83,80,75,70,70,101,0,0,0,0,0,3
3812,18,18,pidgeot,pidgeot,0,4,male,15,1.5,4.542,4.46,395,39.5,87.1,85.59,216,23,1,1,1,17,6,3,9,2,45,70,0,15,4,18,83,80,75,70,70,101,0,0,0,0,0,3
3157,18,18,pidgeot,pidgeot,0,4,female,15,1.5,4.542,4.62,395,39.5,87.1,88.58,216,23,1,1,1,17,6,3,9,2,45,70,0,15,4,18,83,80,75,70,70,101,0,0,0,0,0,3
1113,18,18,pidgeot,pidgeot,0,4,male,15,1.5,4.542,4.46,395,39.5,87.1,85.55,216,23,1,1,1,17,6,3,9,2,45,70,0,15,4,18,83,80,75,70,70,101,0,0,0,0,0,3
1674,18,18,pidgeot,pidgeot,0,4,male,15,1.5,4.542,4.57,395,39.5,87.1,87.71,216,23,1,1,1,17,6,3,9,2,45,70,0,15,4,18,83,80,75,70,70,101,0,0,0,0,0,3
2573,18,18,pidgeot,pidgeot,0,4,male,15,1.5,4.542,4.52,395,39.5,87.1,86.60,216,23,1,1,1,17,6,3,9,2,45,70,0,15,4,18,83,80,75,70,70,101,0,0,0,0,0,3
1090,18,18,pidgeot,pidgeot,0,4,female,15,1.5,4.542,4.46,395,39.5,87.1,85.51,216,23,1,1,1,17,6,3,9,2,45,70,0,15,4,18,83,80,75,70,70,101,0,0,0,0,0,3
